City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,nova sintra,14.8667,-24.7167,19.57,72,30,6.17,CV,1711325527
183,queenstown,-31.8976,26.8753,15.41,75,99,1.07,ZA,1711325528
184,invercargill,-46.4,168.35,16.68,52,67,8.05,NZ,1711325529
185,mae hong son,19.3003,97.9685,19.7,50,3,0.73,TH,1711325530
186,el bauga,18.262,33.9081,19.99,18,3,6.21,SD,1711325423
187,badger,64.8,-147.5333,8.93,43,0,2.06,US,1711325531
188,benjamin constant,-4.3831,-70.0311,25.07,96,100,0.44,BR,1711325339
189,kingston,17.997,-76.7936,27.34,79,64,1.28,JM,1711325490
190,brandon,27.9378,-82.2859,22.77,75,100,7.72,US,1711325532
191,amga,60.8953,131.9608,-13.86,84,82,2.97,RU,1711325532
192,wailua homesteads,22.0669,-159.378,27.24,67,75,6.69,US,1711325532
193,recreo,-29.2818,-65.061,26.55,31,0,3.61,AR,1711325533
194,rio grande,-32.035,-52.0986,23.06,79,59,2.75,BR,1711324919
195,hurricane,37.1753,-113.2899,10.19,62,92,1.34,US,1711325534
196,sandpoint,48.2766,-116.5533,5.81,60,40,5.66,US,1711325482
197,huarmey,-10.0681,-78.1522,22.36,86,71,5.57,PE,1711325536
198,touros,-5.1989,-35.4608,26.47,82,16,3.35,BR,1711325265
199,port saint john's,-31.6229,29.5448,24.28,79,99,8.29,ZA,1711325537
200,gobabis,-22.45,18.9667,19.97,68,74,2.15,NA,1711325537
201,springs,-26.25,28.4,16.31,96,56,4.43,ZA,1711325537
202,port elizabeth,-33.918,25.5701,25.05,93,100,0.89,ZA,1711325537
203,anadyr,64.75,177.4833,-24.72,83,28,7.0,RU,1711325538
204,crane,31.3974,-102.3501,20.91,18,36,13.99,US,1711325538
205,northam,51.0333,-4.2167,8.47,95,100,5.96,GB,1711325538
206,rice lake,45.5061,-91.7382,0.18,93,100,5.14,US,1711325339
207,kazerun,29.6195,51.6541,15.38,90,100,6.49,IR,1711325539
208,abeche,13.8292,20.8324,25.26,11,89,5.02,TD,1711325539
209,nema,57.5067,50.5011,0.53,98,100,3.66,RU,1711325539
210,ghatal,22.6667,87.7167,23.24,85,68,1.7,IN,1711325540
211,prince rupert,54.3161,-130.3201,7.36,74,58,1.82,CA,1711325540
212,vikulovo,56.8167,70.6107,0.0,92,100,6.43,RU,1711325542
213,constitucion,-35.3333,-72.4167,15.22,80,8,5.93,CL,1711325542
214,aconibe,1.2968,10.9369,21.46,98,93,1.1,GQ,1711325542
215,beyneu,45.3167,55.2,8.59,87,69,1.73,KZ,1711325543
216,klyuchi,52.2667,79.1667,-1.97,89,32,6.29,RU,1711325543
217,punta arenas,-53.15,-70.9167,8.95,81,97,0.89,CL,1711325449
218,mendefera,14.8872,38.8153,19.18,23,100,1.07,ER,1711325544
219,sakete,6.7362,2.6587,26.77,81,63,3.58,BJ,1711325545
220,shilka,51.85,116.0333,-2.6,62,10,3.3,RU,1711325545
221,egilsstadir,65.2653,-14.3948,-11.86,97,83,2.03,IS,1711325545
222,udachny,66.4167,112.4,-19.97,97,100,3.03,RU,1711325545
223,kapa'a,22.0752,-159.319,27.99,67,75,6.69,US,1711325546
224,mugia,43.1041,-9.2179,10.51,79,69,8.37,ES,1711325547
225,woodstock,43.1334,-80.7497,0.37,67,65,0.89,CA,1711325547
226,upper sandusky,40.8273,-83.2813,6.94,57,73,3.86,US,1711325424
227,coahuayana de hidalgo,18.7,-103.6583,26.2,43,47,3.18,MX,1711325548
228,sabang,5.8933,95.3214,28.55,76,58,4.54,ID,1711325549
229,valentin gomez farias,28.2167,-106.5833,15.34,24,1,15.96,MX,1711325549
230,vila franca do campo,37.7167,-25.4333,15.23,82,27,5.76,PT,1711325549
231,beberibe,-4.1797,-38.1306,26.75,83,83,3.87,BR,1711325549
232,andergrove,-21.0833,149.1833,27.03,75,88,3.24,AU,1711325550
233,puerto carreno,6.189,-67.4859,34.47,35,78,3.84,CO,1711325550
234,ust-nera,64.5667,143.2,-7.65,91,100,2.73,RU,1711325550
235,bhanpura,24.513,75.7469,22.64,30,84,3.27,IN,1711325552
236,callao,-12.0667,-77.15,27.07,73,0,5.66,PE,1711325552
237,isoka,-10.1606,32.6335,16.0,97,100,0.85,ZM,1711325553
